"Df" "SumOfSqs" "F" "parOmegaSq" "Pr(>F)" "Community" "R2" "Comparison" "Diversity" "Factor" "Covariates"
"sample_data(f1)$Succession" 1 2.1774965800257 5.14365227054864 0.050443974135714 0.001 "Fungi" 0.0633894596387985 "Managed vs Forest" "Taxonomic" "Succession" 0
"Residual" 76 32.1735862724448 NA NA NA "Fungi" 0.936610540361201 "Managed vs Forest" "Taxonomic" "Residual" 0
"Total" 77 34.3510828524705 NA NA NA "Fungi" 1 "Managed vs Forest" "Taxonomic" "Total" 0
"sample_data(f1)$Succession1" 1 1.64210987433163 3.97899437068028 0.0662307908916289 0.001 "Fungi" 0.0904748830121722 "Recent vs Forest" "Taxonomic" "Succession" 0
"Residual1" 40 16.5077878614931 NA NA NA "Fungi" 0.909525116987827 "Recent vs Forest" "Taxonomic" "Residual" 0
"Total1" 41 18.1498977358247 NA NA NA "Fungi" 1 "Recent vs Forest" "Taxonomic" "Total" 0
"sample_data(f1)$Succession2" 1 1.01947796151803 2.3091343549365 0.0350888429220091 0.001 "Fungi" 0.063596513548458 "Late vs Forest" "Taxonomic" "Succession" 0
"Residual2" 34 15.0109284968679 NA NA NA "Fungi" 0.936403486451542 "Late vs Forest" "Taxonomic" "Residual" 0
"Total2" 35 16.030406458386 NA NA NA "Fungi" 1 "Late vs Forest" "Taxonomic" "Total" 0
"sample_data(f1)$Succession3" 1 0.552570441490275 1.33163288305475 0.00434463236968659 0.036 "Fungi" 0.0165295796273581 "Managed vs Forest" "Taxonomic" "Succession" 1
"sample_data(f1)$pH" 1 0.506942470030026 1.22167458159425 0.00290828800090124 0.058 "Fungi" 0.015164665526175 "Managed vs Forest" "Taxonomic" "pH" 1
"sample_data(f1)$C.N" 1 0.645500608290941 1.55558417803496 0.00725726521455196 0.005 "Fungi" 0.019309490524822 "Managed vs Forest" "Taxonomic" "C:N" 1
"sample_data(f1)$Parent_material" 8 3.2598921075283 0.981996864030536 -0.00189866504151225 0.651 "Fungi" 0.0975163384104641 "Managed vs Forest" "Taxonomic" "Parent material" 1
"sample_data(f1)$LDMC" 1 0.451493450760829 1.08804865474796 0.001157194280898 0.221 "Fungi" 0.0135059648240579 "Managed vs Forest" "Taxonomic" "LDMC" 1
"Residual3" 63 26.1422936132585 NA NA NA "Fungi" 0.782019976958424 "Managed vs Forest" "Taxonomic" "Residual" 1
"Total3" 75 33.4291890022247 NA NA NA "Fungi" 1 "Managed vs Forest" "Taxonomic" "Total" 1
"sample_data(f1)$Succession4" 1 0.434890395565645 1.09547840414508 0.00244218533811211 0.2 "Fungi" 0.0258467783998055 "Recent vs Forest" "Taxonomic" "Succession" 1
"sample_data(f1)$pH1" 1 0.425506352339397 1.07184022587594 0.00183867013840729 0.269 "Fungi" 0.0252890579069269 "Recent vs Forest" "Taxonomic" "pH" 1
"sample_data(f1)$C.N1" 1 0.510698063545357 1.28643608908627 0.00729096649125283 0.06 "Fungi" 0.0303522446397052 "Recent vs Forest" "Taxonomic" "C:N" 1
"sample_data(f1)$Parent_material1" 7 2.70608846764249 0.973795928562197 -0.00472552038927301 0.685 "Fungi" 0.16083056711899 "Recent vs Forest" "Taxonomic" "Parent material" 1
"sample_data(f1)$LDMC1" 1 0.412354709268103 1.0387115545819 0.00099161967801572 0.322 "Fungi" 0.0245074181937414 "Recent vs Forest" "Taxonomic" "LDMC" 1
"Residual4" 27 10.7186418608005 NA NA NA "Fungi" 0.63703950178677 "Recent vs Forest" "Taxonomic" "Residual" 1
