"variable" "value" "group" "Succession" "Succession_numeric" "Community"
"1" "CBM1" 0.804353859119702 "CBM" "Managed" 1 "Fungi"
"2" "CBM1" 0.931439440539916 "CBM" "Managed" 1 "Fungi"
"3" "CBM1" 0.963629674734866 "CBM" "Managed" 1 "Fungi"
"4" "CBM1" 0.941832057450288 "CBM" "Managed" 1 "Fungi"
"5" "CBM1" 0.913474683096098 "CBM" "Managed" 1 "Fungi"
"6" "CBM1" 0.92198916104603 "CBM" "Managed" 1 "Fungi"
"7" "CBM1" 0.95575146444679 "CBM" "Managed" 1 "Fungi"
"8" "CBM1" 0.897180937520317 "CBM" "Managed" 1 "Fungi"
"9" "CBM1" 0.947179046413722 "CBM" "Managed" 1 "Fungi"
"10" "CBM1" 0.943994903416506 "CBM" "Managed" 1 "Fungi"
"11" "CBM1" 0.944182642519765 "CBM" "Managed" 1 "Fungi"
"12" "CBM1" 0.932858336628304 "CBM" "Managed" 1 "Fungi"
"13" "CBM1" 0.903832498964038 "CBM" "Managed" 1 "Fungi"
"14" "CBM1" 0.969369286340077 "CBM" "Managed" 1 "Fungi"
"15" "CBM1" 0.856670900536024 "CBM" "Managed" 1 "Fungi"
"16" "CBM1" 0.926667955183352 "CBM" "Managed" 1 "Fungi"
"17" "CBM1" 0.469538843274044 "CBM" "Managed" 1 "Fungi"
"18" "CBM1" 0.872793059252687 "CBM" "Managed" 1 "Fungi"
"19" "CBM1" 0.89439321165546 "CBM" "Managed" 1 "Fungi"
"20" "CBM1" 0.852207446699656 "CBM" "Managed" 1 "Fungi"
"21" "CBM1" 0.776547588451983 "CBM" "Managed" 1 "Fungi"
"22" "CBM1" 0.912709462719029 "CBM" "Managed" 1 "Fungi"
"23" "CBM1" 0.91760272757956 "CBM" "Managed" 1 "Fungi"
"24" "CBM1" 0.858803640541079 "CBM" "Managed" 1 "Fungi"
"25" "CBM18" 0.816142153930621 "CBM" "Managed" 1 "Fungi"
"26" "CBM18" 0.920909405592363 "CBM" "Managed" 1 "Fungi"
"27" "CBM18" 0.979957455522656 "CBM" "Managed" 1 "Fungi"
"28" "CBM18" 0.973705703030241 "CBM" "Managed" 1 "Fungi"
"29" "CBM18" 0.900646795260422 "CBM" "Managed" 1 "Fungi"
"30" "CBM18" 0.87556216245377 "CBM" "Managed" 1 "Fungi"
"31" "CBM18" 0.955505463333164 "CBM" "Managed" 1 "Fungi"
"32" "CBM18" 0.85937817338294 "CBM" "Managed" 1 "Fungi"
"33" "CBM18" 0.962914031374118 "CBM" "Managed" 1 "Fungi"
"34" "CBM18" 0.949283192950188 "CBM" "Managed" 1 "Fungi"
"35" "CBM18" 0.934760991646148 "CBM" "Managed" 1 "Fungi"
"36" "CBM18" 0.929266097278936 "CBM" "Managed" 1 "Fungi"
"37" "CBM18" 0.895943336977507 "CBM" "Managed" 1 "Fungi"
"38" "CBM18" 0.962066526271547 "CBM" "Managed" 1 "Fungi"
"39" "CBM18" 0.847800032832009 "CBM" "Managed" 1 "Fungi"
"40" "CBM18" 0.91984826328997 "CBM" "Managed" 1 "Fungi"
"41" "CBM18" 0.469209655402461 "CBM" "Managed" 1 "Fungi"
"42" "CBM18" 0.80864371199169 "CBM" "Managed" 1 "Fungi"
"43" "CBM18" 0.859055719005111 "CBM" "Managed" 1 "Fungi"
"44" "CBM18" 0.824707549080812 "CBM" "Managed" 1 "Fungi"
"45" "CBM18" 0.798841604453053 "CBM" "Managed" 1 "Fungi"
"46" "CBM18" 0.943201908286652 "CBM" "Managed" 1 "Fungi"
"47" "CBM18" 0.938585895389685 "CBM" "Managed" 1 "Fungi"
"48" "CBM18" 0.835042403390639 "CBM" "Managed" 1 "Fungi"
"49" "CBM50" 0.820067446090999 "CBM" "Managed" 1 "Fungi"
"50" "CBM50" 0.935952715463698 "CBM" "Managed" 1 "Fungi"
"51" "CBM50" 0.956568621610948 "CBM" "Managed" 1 "Fungi"
"52" "CBM50" 0.921123738843967 "CBM" "Managed" 1 "Fungi"
"53" "CBM50" 0.88917006124089 "CBM" "Managed" 1 "Fungi"
"54" "CBM50" 0.905536509700422 "CBM" "Managed" 1 "Fungi"
"55" "CBM50" 0.98177902835545 "CBM" "Managed" 1 "Fungi"
"56" "CBM50" 0.940653834516757 "CBM" "Managed" 1 "Fungi"
"57" "CBM50" 0.943795353673563 "CBM" "Managed" 1 "Fungi"
"58" "CBM50" 0.941127858983947 "CBM" "Managed" 1 "Fungi"
"59" "CBM50" 0.910456922027734 "CBM" "Managed" 1 "Fungi"
"60" "CBM50" 0.96084764075204 "CBM" "Managed" 1 "Fungi"
"61" "CBM50" 0.904297427941608 "CBM" "Managed" 1 "Fungi"
"62" "CBM50" 0.990357977164998 "CBM" "Managed" 1 "Fungi"
"63" "CBM50" 0.859043409490883 "CBM" "Managed" 1 "Fungi"
"64" "CBM50" 0.891428691294622 "CBM" "Managed" 1 "Fungi"
"65" "CBM50" 0.51016433541697 "CBM" "Managed" 1 "Fungi"
"66" "CBM50" 0.850484163419621 "CBM" "Managed" 1 "Fungi"
"67" "CBM50" 0.906368697084146 "CBM" "Managed" 1 "Fungi"
"68" "CBM50" 0.847852833446245 "CBM" "Managed" 1 "Fungi"
"69" "CBM50" 0.880176103158906 "CBM" "Managed" 1 "Fungi"
"70" "CBM50" 0.92976992260364 "CBM" "Managed" 1 "Fungi"
"71" "CBM50" 0.916858020559818 "CBM" "Managed" 1 "Fungi"
"72" "CBM50" 0.895084539680486 "CBM" "Managed" 1 "Fungi"
