"X.IncMSE" "X.IncMSE.pval" "IncNodePurity" "IncNodePurity.pval" "Variable" "Community" "Diversity"
"C.N" 8.927 0.13 8.217 0.15 "C.N" "Fungi" "Taxonomic"
"Parent_material" 8.595 0.011 4.871 0.065 "Parent_material" "Fungi" "Taxonomic"
"Tot_N" 8.29 0.211 5.629 0.851 "Tot_N" "Fungi" "Taxonomic"
"Tot_C" 7.088 0.449 6.054 0.69 "Tot_C" "Fungi" "Taxonomic"
"Succession" 6.684 0.057 1.336 0.54 "Succession" "Fungi" "Taxonomic"
"N_min" 6.549 0.219 6.273 0.712 "N_min" "Fungi" "Taxonomic"
"LDMC" 5.785 0.271 7.334 0.35 "LDMC" "Fungi" "Taxonomic"
"MAT" 4.431 0.251 5.545 0.536 "MAT" "Fungi" "Taxonomic"
"MAP" 3.855 0.189 6.462 0.328 "MAP" "Fungi" "Taxonomic"
"BD" 3.61 0.427 7.406 0.382 "BD" "Fungi" "Taxonomic"
"Sample" 3.567 0.385 5.102 0.978 "Sample" "Fungi" "Taxonomic"
"pH" 3.543 0.571 6.25 0.152 "pH" "Fungi" "Taxonomic"
"pH1" 34.567 0.001 17.839 0.001 "pH" "Bacteria" "Taxonomic"
"C.N1" 19.395 0.001 7.436 0.008 "C.N" "Bacteria" "Taxonomic"
"Tot_C1" 11.121 0.046 5.799 0.079 "Tot_C" "Bacteria" "Taxonomic"
"LDMC1" 9.673 0.041 2.718 1 "LDMC" "Bacteria" "Taxonomic"
"BD1" 9.275 0.074 5.617 0.268 "BD" "Bacteria" "Taxonomic"
"Succession1" 7.833 0.03 1.745 0.032 "Succession" "Bacteria" "Taxonomic"
"MAT1" 5.446 0.144 3.231 0.94 "MAT" "Bacteria" "Taxonomic"
"Parent_material1" 5.186 0.063 0.704 1 "Parent_material" "Bacteria" "Taxonomic"
"Sample1" 5.058 0.191 1.617 1 "Sample" "Bacteria" "Taxonomic"
"Tot_N1" 4.322 0.631 2.517 1 "Tot_N" "Bacteria" "Taxonomic"
"MAP1" 2.926 0.262 1.585 1 "MAP" "Bacteria" "Taxonomic"
"N_min1" 2.324 0.633 2.183 1 "N_min" "Bacteria" "Taxonomic"
"C.N2" 23.325 0.001 2.363 0.001 "C.N" "Fungi" "C-cycling"
"pH2" 21.079 0.001 2.284 0.001 "pH" "Fungi" "C-cycling"
"Tot_C2" 15.826 0.003 1.717 0.015 "Tot_C" "Fungi" "C-cycling"
"BD2" 14.3 0.01 1.661 0.033 "BD" "Fungi" "C-cycling"
"Tot_N2" 8.517 0.104 0.714 0.991 "Tot_N" "Fungi" "C-cycling"
"Succession2" 7.104 0.036 0.444 0.067 "Succession" "Fungi" "C-cycling"
"LDMC2" 6.898 0.091 0.694 0.997 "LDMC" "Fungi" "C-cycling"
"N_min2" 6.761 0.133 0.639 0.999 "N_min" "Fungi" "C-cycling"
"Parent_material2" 1.591 0.238 0.263 0.817 "Parent_material" "Fungi" "C-cycling"
"Sample2" 1.31 0.458 0.351 1 "Sample" "Fungi" "C-cycling"
"MAT2" 0.789 0.528 0.454 1 "MAT" "Fungi" "C-cycling"
"MAP2" -4.269 0.927 0.304 1 "MAP" "Fungi" "C-cycling"
"C.N3" 14.578 0.007 0.024 0.11 "C.N" "Bacteria" "C-cycling"
"pH3" 13.801 0.004 0.023 0.042 "pH" "Bacteria" "C-cycling"
"Tot_C3" 5.588 0.427 0.011 1 "Tot_C" "Bacteria" "C-cycling"
"LDMC3" 5.227 0.199 0.014 0.901 "LDMC" "Bacteria" "C-cycling"
