"Sample" "Par" "Lat" "Long" "Landuse" "Succession" "Stage" "Ecosystem_type" "Date.collected" "Parent_material" "Distance" "Soil_water" "BD" "pH" "P" "K" "Mg" "Ca" "Al" "Fe" "Tot_C" "Tot_N" "C.N" "d15N" "d13C" "C.stock" "NH4" "NO3" "N_min" "NH4_t28" "NO3_t28" "N_min_t28" "NH4_mineralized" "NO3_mineralized" "N_min_mineralized" "Klimatnr.precip" "MAT" "MAP" "LDMC" "Leaf_C.N" "Litter_C" "Litter_C.N" "Litter_N" "Litter_P" "LN" "Leaf_lignin" "Lignin.N" "Basal_resp" "Glycine_resp" "Lignin_resp" "AY_resp" "OA_resp" "Glucose_resp" "Chitin_resp" "No_genomes" "Copy_16S" "AGS" "Max_GR" "abundance_16S" "abundance_ITS" "FB_abundance"
"1" "Sample_001" 1 59.6282400169008 18.6642289123136 "Forest" "Forest" 4 "Forest" "03-aug" "Sand" 2236.37239009062 26.3187078677513 0.879196479263526 6.2 1.7 6.7 30.5 199 23 14 5.82 0.297 19.6 0.82 -28.09 NA 10 3.1 13.1 27.2 8 35.3 17.2 4.9 22.2 98330 6.89676949004 556.747714458 498.57458823425 25.7260440167174 558.348516126177 79.6277777777778 10.982310873102 0.944983567981646 21.0092494461266 162.913084239528 7.75435051391439 0.869 9.60279801810613 2.25570907515372 14.0745178033466 4.9114484267758 8.29985061409581 0.238908837557128 467.0930201 2.093587546 2.875138018 0.196299403 4.88657702727852 3.31392487872643 0.678168963719794
"2" "Sample_002" 1 59.6081508891807 18.6645221062402 "Abandoned former arable field" "Late" 3 "Grassland" "03-aug" "Silty clay" 2236.37239009062 104.073264078732 0.412889651910772 5.6 3.7 23.6 32.4 586 122 187 21.2 1.72 12.3 3.61 -27.62 NA 20.9 152.4 173.3 240.8 258.6 499.4 219.9 106.2 326.1 98330 6.89676949004 556.747714458 462.062648154883 22.1328026431821 456.964939172765 NA 6.600203125 0.735159303098471 28.0020974471525 95.8788802364083 3.42398923571199 1.979 13.6103249329943 4.28101743048608 28.6943467845884 6.59476311046762 13.9466051432778 0.0602336497762155 558.876913 2.50257778 2.546634987 0.228462498 NA NA NA
"3" "Sample_003" 2 60.0106432486176 17.7864112247944 "Forest" "Forest" 4 "Forest" "03-aug" "Moraine" 5217.888662215 NA NA 4.5 5.7 15.5 12.9 58 37 32 6.11 0.26 23.5 1.24 -27.06 NA 18.9 1.3 20.2 83.4 1.8 85.2 64.5 0.5 65 107010 7.00130572784 588.83941366 486.485824700384 26.8601939075059 523.873343284009 72.24 10.2762297702298 0.926155965690438 20.3623490875759 61.8085870111248 3.03543499550538 1.112 7.56687980792903 3.55845774003292 8.99351656833737 7.23537664922391 7.19179385538645 0.616763626022123 NA NA NA NA 4.6719297566201 3.1906941355738 0.682949937561155
"4" "Sample_004" 2 60.0575 17.7888888888889 "Abandoned arable field" "Recent" 2 "Grassland" "03-aug" "Fine clay" 5217.888662215 23.5 1.09 5.4 1.7 12.3 27.3 309 34 88 5.27 0.469 11.2 4.67 -28.17 57.4 4.9 30.3 35.2 63.8 10.9 74.7 58.9 -19.4 39.5 107010 6.4395188733 588.83941366 446.529988399126 20.6488551790682 460.353252955937 66.6928571428571 15.0418329995876 1.80373950706534 26.9270168347861 68.3948083132107 2.54000689095473 0.843 7.02340727765614 0.49215876024716 5.80680766861167 2.39841270640132 9.41406782822454 0.901865612503787 NA NA NA NA 4.84340886489777 3.04974429446103 0.62966897479249
"5" "Sample_005" 3 60.0063888888889 17.7880555555556 "Forest" "Forest" 4 "Forest" "03-aug" "Moraine" 5104.97204567068 29.2 0.72 5 5.9 34.3 45.7 471 34 53 22.7 1.26 18 3.38 -27.45 163.4 43.4 43.8 87.2 237 76.5 313.5 193.6 32.7 226.3 107010 7.00130572784 588.83941366 NA NA NA NA NA NA NA NA NA 0.894 9.35329654255011 6.50099989040871 11.0546072806653 11.145431104163 8.803005069628 1.22361529003019 NA NA NA NA 5.13255208489436 3.39465354458946 0.661396803859093
"6" "Sample_006" 3 60.0522222222222 17.7911111111111 "Abandoned former arable field" "Late" 3 "Grassland" "03-aug" "Moraine" 5104.97204567068 22.1 1.39 5.9 6.2 29.3 16.4 195 31 24 5.92 0.481 12.3 9.34 -27.67 82.3 6.6 49.4 56 16.1 58.2 74.3 9.5 8.8 18.3 107010 6.4395188733 588.83941366 450.638455361969 22.1228778744483 442.628846205939 68.86875 13.3928048303033 1.06931472620119 24.7042640980075 59.187222944369 2.39583023843817 0.46 4.87557515137291 3.00457205237839 3.98059517383348 5.1832371925387 5.90247000938102 0.367867767130098 NA NA NA NA 5.0301666776954 3.23361770051097 0.642845040274583
"7" "Sample_007" 4 60.2152777777778 18.4361111111111 "Forest" "Forest" 4 "Forest" "04-aug" "Moraine" 3733.28392775208 65.6661983217134 0.527963736143421 5.9 2.4 16.6 23.4 572 32 27 10.6 0.463 22.9 1.09 -27.44 NA 9.1 2.5 11.6 72.4 16.6 89.1 63.3 14.1 77.5 108180 6.60498774923 589.780944033 500.668773381235 36.9449430409278 557.757693088091 100.63 7.36705555555556 0.709112684778105 14.300920177873 157.010764401228 10.9790672522012 0.728 4.06397307297149 2.92628726996089 7.6385763043231 5.68336170102731 3.15383732564692 0.0738712445367603 472.6788462 2.209217384 2.897601005 0.209911166 4.97754338763391 3.36201210303509 0.675436021590007
"8" "Sample_008" 4 60.1822222222222 18.4475 "Grazed grassland" "Managed" 1 "Grassland" "04-aug" "Glacial clay" 3733.28392775208 11.8884963411545 1.37716419982595 6.1 2.7 8.8 9.9 294 24 12 4.33 0.309 14 1.85 -28.35 NA 3.2 27.5 30.7 1.2 73.3 74.5 -2 45.8 43.8 108180 6.60498774923 589.780944033 452.853522307517 21.7415732783832 432.882918919904 45.0172248803828 13.2451772445081 2.53968884114648 24.0291219420237 47.1920185825218 1.96395102144741 0.175 12.6111764597413 1.46853918011023 18.7825610280224 10.6559321652349 11.781065628062 1.11987188156983 346.528929 2.410760298 2.822084733 0.182343896 5.13611080567594 3.49090459027838 0.679678597747651
"9" "Sample_009" 5 60.405804714998 17.9150707096587 "Forest" "Forest" 4 "Forest" "04-aug" "Sand" 3661.26833132842 12.2206420857115 0.932895837354436 5.9 2.6 16 18.6 392 25 44 8.18 0.575 14.2 4.44 -28.58 NA 5.2 21.1 26.3 8.6 81 89.6 3.4 59.9 63.3 107250 6.29183631277 646.26475274 498.947463927355 31.0827155037892 551.822486726986 102.966666666667 9.4124502688172 0.774075754856772 18.3373968971668 157.913072159704 8.61153156280882 0.57 0.983369727328452 2.01162399623085 1.38444803557432 2.00977986193628 1.23816610217804 0.579216062980955 630.5563748 2.544596704 2.636748539 0.212911099 5.0016636141159 3.30611649029498 0.661003367152545
"10" "Sample_010" 5 60.4055555555556 17.9816666666667 "Abandoned grassland" "Recent" 2 "Grassland" "04-aug" "Moraine" 3661.26833132842 26.29016678654 0.664286173840314 4.8 2.6 7.6 4.4 46 34 27 2.74 0.102 26.9 1.7 -28.08 NA 5 0 5 39.5 0.4 39.9 34.5 0.4 34.9 107250 6.29183631277 646.26475274 453.247480394883 22.6397136978151 439.023804649408 63.7125 12.507977699442 0.910976107375327 21.9482101623591 60.5867484125899 2.76044141934159 0.707 10.5495305444392 1.64127683636941 11.5440637693617 7.0210332406957 9.9257695227139 1.91981484936275 450.2653931 2.145872361 3.057712676 0.216733988 4.58777737952902 3.25373706784914 0.709218603842361
